id,comment_text,toxic
17,"
已經解釋七八款了

幹 每個都是皮薄餡多肉汁燙

還故意拍特寫

是要不要給人活路啊?

沒在專心看 不過也是越聽越餓

想賴床都肚子餓到不行

起床了起床了 口去!!!

",0
18,"黑特起床
林北開車
不要下雨
幹拎老蘇

",0
19,"我討厭上班

可以不要去嗎?

什麼都做不好

什麼都做不到

我根本沒資格擁有現在的一切

我好討厭自己

",0
20,"都太晚睡了
肩膀硬到跟石頭一樣==
幹
傻眼
今天要好好睡一波！！！！
真的母湯QQ

",0
21,"
沒看到兩邊都排了長長一列隊伍了嗎?

叫你排隊居然還舔不知恥的回

現在也沒位子坐

沃草，你他媽哪國邏輯啊?!

現在沒位子坐=不用排隊

果然是43寶欸，思維與常人大異

早上 凸    凸奉上


",0
22,"沒占多久你他媽的打屁啊
幹 他媽的
幹你娘勒 看對手沒占多久就不打
幹 一堆討厭的對手
幹你娘勒 操
他媽的看到你就打

",1
23,"好熱喔
媽的幹 一直流汗真難受
幹你娘勒 衣服好濕
風一吹有夠冷
幹你娘

",1
24,"操 爛蟲一直咬林北
幹你娘 操你媽
幹 一打就一堆血
幹 有夠癢幹你娘
幹 去咬其他人啦

",1
25,"操 明明抓的是第二季的第10集
幹 怎麼抓到第一季的去了
幹你娘勒 什麼爛網站
幹 他媽的 沒辦法一次看完真幹

",1
26,"
幹你娘雞掰我的文我沒權限看是三小

操 垃圾

只是想再做一次善事而已

幹

",1
27,"一早排第一個照胃鏡，

醫生跟我說有胃出血的現象，

其他正常粉嫩的腸壁，沒有胃癌

診所附近剛好有肯德基，先去吃早餐

補個幹

https://i.imgur.com/UCvoH4z.jpg


",0
28,"
沒麵包

也沒多拉A夢小雞蛋糕

也沒賣血餅乾了

..........

突然好餓

不知道能不能撐到中餐時間

下雨只好吃泡麵QQ

",0
29,"毛又長出來了

幹
好熱喔
肥宅真的應該都把毛剃成館長那樣

上次真的剪不夠短
森七七


※ 引述《sagem29 (YF 的 殺菌)》之銘言：
: 都剪了
: 怎麼還是這麼浮躁
: 是不是剪得不夠短
: 煩ㄟ

",0
30,"
我看今天按摩完待在家吃雞好了

ㄎㄎ

",0
31,"
剛打完英文作業

幹

不知道為什麼

過一會

一個男的 一付很不爽 拿著電話 往我的包廂青著我

幹

原來喔...

難怪 我一進來網咖

一堆人 看似有目的 走來走去的

找東西嘛

幹你娘的 找到沒

操你媽的

種什麼因得什麼果啦

這麼神喔... 真的有神力的

幹他媽的

到時候不要給我哭啊

不只別人會賣人情

我也可以自己托球喔

幹你娘的咧

兇三小啦

幹

",1
32,"頭放廣告 尾也放

一個影片
還分段放

2X分的影片
看了3~4個廣告
還都是萬國XX的

Oh sorry
我不知道你是新莊的金城武

娘砲的廣告..........

幹

",1
33,"
☹

因為我騎車淋雨

然後公車的冷氣又開得幹他媽強

☺  操

",0
34,"幹為什麼可可的古意紅茶居然有咖啡味

這是咖啡紅茶嗎

雖然不到難喝

但真的很奇特的味道啊


",0
35,"
經朋友牽線數日

昨天去該公司拜訪

結果對方根本什麼都不知道

還對我冷笑說我是不是搞不清楚狀況

我還帶了一堆資料過去回想起來超蠢

還是靠自己比較實在

這週末我還忙得跟白癡一樣

幹

不要再打給我了

",0
36,"虧我買了這麼多張股票

結果連紀念品都沒有

補個幹


",0
37,"這三小溫度

明天開始帶雨傘

https://i.imgur.com/C9n2s5v.jpg


",0
38,"等等萬安演習

想到有一次還在唸大學的時候

不知道有演習

結果卡在騎樓半小時

幹

那時候還沒有智慧型手機這種東西

無聊到暴斃

馬的

今天好熱喔，內褲都濕了


",0
39,"
是我目前這輩子最幸福快樂的事了，

不管未來如何，

我都會永遠守護你的心

就這樣打勾勾了




",0
40,"還有
奶茶婊、菊花婊、心機婊、聖母婊、龍井婊、醬油婊...

女人的世界真辛苦

",0
41,"
沒有聯絡

那張LINE頭轉去的黑白頭貼，

十十足足像是不回頭離你而去的樣子

幹!

為什麼對別人那麼好!?

沒有愛了！


",0
42,": 虧我買了這麼多張股票
: 結果連紀念品都沒有
: 補個幹
:


今年我也沒有股東會禮物
去年我有拿到台泥和臺企銀
今年因為台泥已經出清就沒了
然後，
手上的台積電，中華電，中租……
都沒有紀念品

幹，
希望紀念品最好可以直接折現成股利比較好


今年想收購中鋼的紀念品
開發金的椅子好像也不錯

",0
43,"今天再次體認到很多事情跟 機緣

有很絕大的關係



反正好與壞  自己知即可






幹幹幹 昨天不讓芬還有1.9 今天怎麼下到1.75了

應該買5000的 基八毛

",0
44,"從沒想過會有這樣的挫折

但人生就是這樣吧

永遠無法預測接下來發生的事情

也無法控制自己覺得很煩的情緒

",0
45,"
準備進城去收東西

剛站起來要走出去

手機降雨警報器又響了！

看一看.........好像會下又好像不會？

喵的.....還是不要賭這一把好了！

人濕掉就算了，等一下別人的板卡弄濕掉就麻煩了......


",0
46,"





咦我只知道恥度-///-



一個月過了 人體實驗結束 我要來換另一個實驗了




最近跟教練比增重
嘻嘻嘻嘻嘻嘻

兩個死胖子

",0
47,"我只是去換存摺，

還得問我有沒有辦信用卡

需不需要買儲蓄型保險

幹


",0
48,"
一下出太陽一下下雨

一下下雨一下出太陽

目前循環到這邊

幹拎娘這什麼鬼

你說啊你!!

",0
49,"等等要萬安演習
萬安演習就是準備午覺
等等睡醒繼續讀書

現在臺北下超級大雨
不知道我的車車會不會泡到水

黑特點

雨下好大還打雷

好可怕

",0
50,"

有沒有努力的朝自己想要的方向前進


還是我想要的就只是像現在一樣普通平凡的感覺


好煩


一樣的問題一直出現


甚麼時候才可以對自己不抱疑問，相信自己。


覺得想像中的自己跟現實中的自己不管怎麼樣都有無限的距離


還是因為我每多走一步，想像中的自己也多走一步的關係


太貪心了嗎?

",0
51,"
手機那個聲音好吵....

反正我快腦袋敲鍵盤了

應該也不會出門啦

目困~~~

",0
52,"
空襲誒

馬的

大家趕快躲好

雨下得好大

真的如同空襲一般

拎杯肚子好餓

到底該不該出去買東西吃

",0
53,"幹
台北雨也太大

有傘和沒傘根本沒雨樣

出去不到5秒整個濕透

剛才一個妹子白T濕透露出裡面黑內衣

喔喔喔!!

但我肥宅也淋濕了

",0
54,"挖賽  這與還真大

不放個暴雨假嗎

穿雨衣跟沒穿衣樣吧

太大了  豪可怕啊  995

然後今天跌的咪咪帽帽的

幹ˋ幹幹  995  公園與這麼大怎麼住人啊qqqqqqq

5555

然後  昨天看了什麼角頭2

故事性感覺好低  炯~~~~


然後我完全忘記1在演什麼了XDDDDD

炯~~~

哀  雨還是好大

打完這篇費雯  沒有變小的感覺~:~

995

",0
55,"的那一天，是妳開始戴牙套的第二個禮拜，妳開心的跟我說以後會變很漂亮，我卻只想著
這牙齒是多久沒刷，又黃又臭。

再見面時是要去調整牙套的時候，我急著想先進診間，妳卻以為我是想告訴醫生妳很怕痛
，於是妳拉著我的手，告訴我沒事的，看著妳的笑臉我也笑著，笑著怕，怕牙醫沒有注意
到妳好像忘了怎麼刷牙。

後來散步在發大財的街頭，妳說我喜歡你，我也喜歡妳啊，於是我們就在一起了，天天褒
著電話粥是我最開心的時候，因為聞不到味道。

結果過沒多久妳又自己說了找不到愛的理由，好吧，那就算了吧，但實情卻是妳還有另一
個他。

我多希望我不要那麼彆扭，深埋在我心裡的那句妳有口臭我一直說不出口，希望妳跟他可
以好好的走下去不要再玩弄感情了，也謝謝妳讓我成長，這世界上我最愛的三個人就是姊
姊妹妹張鈞甯了。

",0
56,"


今天一早晉級賽就輸一屁股

剛剛柴柴神再度幫我拉回晉級賽

超爽的

",0
57,"為什麼台灣還是這麼多素質很低的人啊

問了一堆要了一堆照片

最後又說不買了真的很機掰欸

以為大家時間很多就服務你一個人？

幹 眼睛睜大看完商品資訊再發問不行嗎？
煩死了
",0
58,"廠商這幾天都會來請款
我錢都準備好了

快快來吧555


反正不是我的錢
我完全不想放身上可惡

",0
59,"別的部門開會，要我們部門支援，你指派我去我支援當然沒問題。
但開會是他們部門的事，有需要公告什麼是他們的事情，你卻堅持要我發公告。
我已經跟你提醒正確的作法了，你他媽的完全不理會，堅持要我照你的方式做。
事情的結果就跟我說的一樣，然後明明你弄錯你卻沒事，我他媽的照你的方式做了，反而
變得莫名其妙。
你就覺得我的事情不重要，所以把這個不重要的事情都給我，他媽的意見又特多，還沒得
商量。
幹你媽的廢物主管，每次你的決策有問題，跟你提醒都不聽，什麼都要照你的意思做，還
喜歡在你覺得不重要又不懂的事情上出意見...
幹你媽的還要在我背後補刀，說什麼我不好溝通，我提的意見你覺得不好可以分析阿，你
又不分析只在那邊說「我覺得你要照我的方式做」，幹咧我都會明確說你的指示哪裡有問
題，你也不針對那些問題討論，只出張嘴說，照我的做。幹你娘出錯你是會扛嗎？
幹你的非專業領導..操

",1
60,"
肏你媽田中

都轉到丙了

結果進王率還是這麼低下

幹

",1
61,"什麼都問我

我又沒經手
而且署名是你
我哪會知道

問我問屁呀幹

",0
62,"好無聊啊啊沒人可以說話

ㄇㄉ

午餐吃什麼好QQQQ

五點多才睡，8點多起床真的很累

啊啊啊啊啊啊啊吶喊一下

我發現我在這裡好像常把男生當成女生>///<

",0
63,"書好難背
幹 他媽的
自己寫的還是背不起來
幹 他媽的笨腦袋

",0
64,"操 那麼愛在自修室用電腦幹麻啦
媽的幹 有夠吵
他媽的滾到其他地方用啦
幹 他媽的館員看到也不勸說
幹你娘勒 什麼爛東西

",1
65,"塔被打掉了
媽的幹 VIP塔一直被洗
幹你娘勒 操
幹 他媽的 讓林北賺黑券啦
幹

",1
66,"好吵
媽的幹 聲音開小一點啦
幹 他媽的 上課讓部份人聽到就好
幹 幹麻讓無關的人聽到
幹你娘

",1
67,"為什麼要整天廢在家
為什麼沒有事情做
為什麼明明過很爽卻很不爽

",0
68,"
流氓很多

雖然離台北只隔著一座橋

但是水準就差很多

雖然這是事實

三重確實不比台北乾淨整潔，

交通也混亂，

以出身地來評斷一個人的好壞，

我實在也看不出來您水準有比我這三重鄉下人高到哪裡去啦

又不是全三重都是流氓

笑死!

被基隆人這樣說感覺超不爽的

",0
69,"幹，自己說開發票洽服務人員
打電話給你又在那邊態度差
有夠78

",0
70,"真的知道我認知有別大眾嗎
什麼都說知道
那為什麼一直讓我心寒
幹

",0
71,"有的人喜歡上班就是上班
好喔
我是後者
想給我驚喜
其實是給彼此尷尬
幹

",0
72,"根本又是錯誤
為何給自己的選擇
總是一錯再錯
幻滅了
都幻滅了
幹

",0
73,"後天該怎麼辦
第三天第四天第五天
彷彿回到六年多前
飾演一個給她的樣子
等到剩下自己再變成自己的樣子
好疲累吶
自己一個人真的比選錯人好
之後我一定會回去那樣的生活
不會再選擇這樣的人了
幹

",0
74,"

槓可是離家好遠喔 = =

好想看帥哥喔



好想練手喔 翹班了

",0
75,"超硬==
快斷掉ㄌ
好想回去睡覺
可是不行QQQQQQ

",0
76,"幹，說啥我每個月存6000

一年只要36000

6 年後就有30萬

這麼好幹麻不要我每個月繳6000

一年後就給我 5萬

肯定有鬼嘛

補個幹


",0
77,"為什麼這次調班她沒有跟著換班啊？？？？？？？
幹！！
你他媽之前的人都會一起換
為什麼這次沒有啊？？？？幹
幹！！！！
一起換會怎樣嗎？？？？？

",0
78,"肏
孫叔敖不姓孫
https://i.imgur.com/qFtvn2S.jpg

被蒙在鼓裡二十年


",0
79,"一桶1.5kg 16.5 rmb

運費大概要30rmb

不知道好不好吃


用私人集運買好像是看到另一個小天地

購物車快爆了 幹

",0
80,"
文章跟新跟推文更新速度變好慢阿

看人氣指數跟新還比較有變化

幹

一個無聊阿

",0
81,"我的指甲都在哀嚎了！！
叫日本人賠我美甲費喔 啃

",0
82,"
幹

看起來都怪怪的

很像變形

以後我死也不會買曲面螢幕

補個幹

",0
83,"
看到隔壁門口的地上有個證件包(?)

封面的證件好像是學生證吧

我就看了看 想一想 又看一看

然後發呆等波霸奶茶

來來去去起碼20個人經過

10個以上有低頭看

沒人願意撿起來送學校或警局

呵呵......

社會風氣就是這樣吧

好心搞不好後患無窮

誰要做好心啊?

賴同學 祝你好運能撿回證件

",0
84,": 媽的不要再箭頭了
: 我很不舒服
: 這篇給你噓啦幹
: = =



媽的本來就很少來這邊搭車了

結果為了看八卦

還站錯站牌

看到一個段落才發現車都沒來= =

還好馬上跑去對面車就來了 嘻嘻







",0
85,"
冷死了幹

我還穿短版上衣配短褲而已

拍秋冬就要這樣冷嗎

",0
86,"剛剛跑了兩間清新一間出櫃
結果三間飲料店都倒了
跑到第四間才買到
馬的
一定是我平常太宅的關係
家裡附近關了三間飲料店都不知道
幹！為了買兩杯飲料
浪費我二十分鐘
幹你媽的
時間都浪費在這種鳥事上
幹

",1
87,"
呃 其實有部分是我不想住家裡啦


但就真的 沒錢的 沒房 又偏遠 又不能騎車開車



不搬出去 你就等著沒工作 不然就是要每天趕車

幹


只剩下500 活到5/31應該還可以吧...

",0
88,"偷偷爬上來咬我手肘
又不會變蟻人
幹

",0
89,"
下午吃了東東芋圓好爽

可是現在開始肚子痛了

嘛的逼

",0
90,"
還剩下半小時

姨媽真的很擊敗！

我今天來上班臉超水腫

原來是睡太飽啊

然後主管還幫打卡 有夠爽

",0
91,"
這種天氣公車不開冷氣是三小

欺負胖子皮厚油多484喇

",0
92,"不要再手賤了啊啊啊啊

臉都要爛了

好想把自己的手剁掉算了

怪自己忍不住啦

",0
93,"
害我那麼晚回去 太陽都出來了= =


路真的有夠不平

然後我還騎在一輛烏賊車後面= =


幹 我真的蠻三寶的☹

早上下雨路很滑還差點撞到三角錐☹

不怎麼會騎車還都騎很快☹

想到之前你跟我說 我每次騎機車你都會很擔心的事情了:(

",0
94,"月底真的是什麼鳥事都碰到了

 今天一隻老鼠卡在 機器裡面

應該是死有兩三天以上

 剛好是在設備的散熱出口

幹你媽的 聞了一個小時的屍臭味

重點是到現在還掃不出來屍體在哪裡

要下班只能明天再來一次

幹我他媽等等就先去買恩九五口罩

",1
95,"我再找你」
然後就等
六
日
中間兩天他也沒有找
禮拜一早上， 以為手機屏幕會有早安
也沒有

到了下午4點多
她第一句話就是
「你還是沒有主動找我」

小姐...你說的是人話嗎!?

我沒主動找你，該怪我囉? 沒聯絡前的那兩天
我傳了多少訊息
好話說盡了， 你只說心情差、你在吃醋然後這樣愛理不理

你知道這幾天我腦中一直有些什麼想法?

想你是不是有新歡

想你是不是 看我哪裡不好

想你是不是認真，跟我是玩玩
( 因為我一直 提結婚 你後來都沒回應)

誰知道你這次吃醋真正原因，
是真的 吃醋差心情不好還是只是懶得理我

真的不知道該不該把這些告訴你

讓你知道不要再這樣 缺乏聯絡讓我熱臉貼你冷屁股

我本來就不是擅長追女生的人

一追都是拙劣的手法

為什麼要怪我 不聯絡你


",0
96,"
一直叫人要加入社團

社團到底有啥好參加的

只是增加牆上的垃圾文章而已

補個幹

",0
97,"
我光幫你做業績就刷36k了

你他媽來店禮還要我花錢去換

馬的算成這樣，老娘花錢都不爽了啦

",0
98,"app好讚啊啊啊啊幹


完蛋，唱到忘我
最喜歡這個採点

很多歌都能唱

真的讚讚


幹點：我不會用對的方式唱歌

http://i.imgur.com/FrUCYQa.jpg

",0
99,"
沒有發廢文的靈感

雞掰

是不是有點江郎才盡惹

操

好難過

唉

",0
100,"
臉還過敏了，好癢。

好暈，好累。



開始想吐了==





",0
101,"幹

肥宅如我就是邊緣

想徵個人一起吃辛殿都沒有

湊不到4人的話就只能取消了

幹!!!!

我好想吃辛殿啊Q.Q

",0
102,"


正如同不喜歡就不要看，或設黑名單就好。

硬要攻擊人家，也是莫名。







",0
103,"
上禮拜看好台幣會繼續貶值

所以買了價值兩萬元台幣的美金

結果買完以後

台幣都在升值

欸

不是吧?

我運氣真的有那麼好?

不買美金，台幣都在貶值，

買完美金，台幣都在升值...

我的20,000台幣變成了19,895台幣

https://i.imgur.com/6io3Gzm.png

https://i.imgur.com/hUpWgPQ.png

少了105元

少吃了一碗拉麵...

大家美金買起來好嗎?

大家一起把台幣貶到35元

大家縮好不好啊?

",0
104,"
有種卸妝啦操

畫啥小妝

雞掰

女人就只會騙

從上妝的那一刻

就在騙人

靠妝撐還真以為自己是正妹行情多好

肏

一群婊子

賤婊

越賤我越愛

你說這是不是犯賤

",1
105,"
今天站了10個小時

腿都快斷了

但我現在還沒到家

還在走路 嗚嗚

",0
106,"


一進到ㄅㄧ

我就無法隱藏自己的愚婦本性

啊啊啊啊啊啊啊啊啊啊啊啊四顆肥皂才49欸欸欸欸

而且是半價欸欸欸欸欸欸欸欸欸欸欸欸欸欸欸欸

四顆49可能不會吸引我

但半價就啊啊啊啊啊啊啊啊啊啊啊啊啊啊

雖然我家的肥皂已經夠我洗到明年

但我還是啊啊啊啊啊啊啊啊啊啊啊

下個月再買 比較不會有罪惡感^ ^






",0
107,"女兒上上週因在學校被腸病毒感染
自行停課一週

然後今天才星期一
又被通知小孩染結膜炎
我整個假日跟小孩都在家
老師私下講 有其他患病同學上週被送進來..
然後我家孩子又被停課..

真的是 滿滿的幹意啊！
我假都請光了
是要怎麼辦啦！
離職啦 操


",0
108,"媽的 一個沐浴乳擠壓頭做這麼短是要擠三小
換新包裝很好看但難用的要死
自以為很新潮連打開來試聞都不行
早知道不買了幹
",1
109,"
操

吃啥小龍蝦

吃大便啦

拎杯吃泰國蝦就很滿足了

操

能不能吃個麥當當就好惹

是說

好想約個女孩去看電影

",1
110,"看到就噁心
怎這麼噁心
受不了噁心
全部都噁心
滾滾噁心鬼
嘔嘔嘔嘔嘔

",0
111,"
忽然覺得空氣好髒

然後在日本平均每天開車四小時左右

習慣很有禮貌的開車

剛剛過馬路被計程車叭

我露出一臉茫然的表情

哈哈哈哈哈哈三小啊幹

",0
112,"
煮完晚餐超熱

結果吹個電扇就開始頭痛了

傻眼

反而自己到現在都還沒吃

唉




",0
113,"
氣PUPU

氣PUPU

到底士力架還有多少梗

補個幹

",0
114,"https://i.imgur.com/Ilqp0Sb.jpg
哈哈哈本來要烤給同學吃
但每一片都超大的數量超少
而且減糖減了快一半超不甜的
還是自己吃好了

好爽喔

杏仁角也不錯吃

幹重點是他媽的

又遇到喜憨兒了

一天不發作會怎樣嗎幹


他媽的是不是怕你國家男人都被搶走啊有夠像_國女生看到_國男生都載台灣女之後開始排擠
台灣女

傻眼

重點是我他媽的我也沒興趣啊


林北有很好的人選 選一個無業還在上課的幹嘛
OmO



",1
115,"這兩天大便就不順暢，坐在馬桶上聞自己ㄉ屎味很久


嘔嘔嘔嘔嘔嘔

",0
116,"神奇活現的兩腳開開

在路邊逮住一隻胖灰衣服低層的貧窮民眾

手疾速地寫著奪金單

像是幹了什麼了不起的事呢


",0
117,"又悶又熱
冷氣想給它開下去...

",0
118,"一聲哀號
幹為什麼在樓梯間會飛出一隻蟑螂啊
這下子要等到媽回來了 在樓下不能回家




",0
119,"

剛剛跟兒子拍了好多張溫馨照

拍完他屁股對著我睡

我也是把頭靠在他屁股上

結果他居然放屁= =




乾 不是第一次聞到啦

可是真他媽臭ㄟ 崩潰潰





",0
120,"真的好累
然後我家教還遲到==
幹
傻眼^^
還沒吃飯
超雷的
哭哭喔幹

",0
121,"信箱破200，結果不能寄信給自己

害我一直刪文


App又不能選多封

浪費我多少時間


幹
",0
122,"
幹

都是甚麼綿羊班

大象班之類的

就不能甲乙丙丁就好了嗎

補個幹

",0
123,"叫個外送

在那邊挑了30分鐘才選好

操雞掰 怎會有選擇障礙啦

話說 住在有外送服務的地區還真是爽啊

目前優惠時間 很多免外送費喔 啾咪

https://i.imgur.com/Ftoctca.jpg

幹 又要等30分鐘 操

",0
124,"飛東京一趟啊啊啊啊啊啊
乾我真的有心動

好想去啊啊啊啊啊啊
當現地組爽一次 (不是


嗚嗚嗚嗚

",0
125,"
幹他娘省親的我看到這個雞腿
這個雞
這個腿
我就好想讚美它啊乾

看起來富有彈性
大腿內側不含有過多肥肉
整個腿勻稱、纖細但看得出來包含歷練

最重要的是




他媽的炸出來就像裹了黃金聖衣的炸雞腿般啊！
如果要我給這麼個尤物一個名稱
我絕對是給不出來的

此刻我只想好好品嚐它
讓它在我嘴裡恣意妄為
油脂順著我的小肥手傾瀉
彷彿在說




「哥哥，不要讓我流走，快用嘴堵住我」








=3=

",0
126,"她媽的要來開不來開的

造成主辦不好做 很爽嗎
幹

來一下是會死喔

馬的

然後又被凹事情

幹你娘的爛主管


",1
127,"流血了
啊啊啊啊
手賤抓傷口
啊啊啊啊啊
流血了
好可怕
幹

",0
128,"
健身工廠不是一堆大肌肌的ㄇ

為什麼門口打開飄出噁心的臭酸味

ㄛ

我聞到自己的味道了

嚶嚶嚶

",0
129,"
幹

人都死了膩

操

拎杯

真的越想越不爽

然後肩膀超硬

早知道

就找同一個小姐姐按了

隨便摸個兩下

到底有沒有專業啊？

幹

",1
130,"不再用PTT了

沒有帳號了

全部APP可以刪除了


",0
131,"說好的雨呢
趕快下來降溫阿
幹拎老蘇

",0
132,"怎麼不想想自己幾點回來吃晚飯
昨天睡不好是我造成的嗎
更別說那一點經不起幹的雞巴
我操他媽的

",1
133,"
明明文情並茂

操

到底哪裡出錯了

想找一個長期飯碗很難嗎？

",0
134,"上一秒還是中文介面
滑一下批踢踢
再回去
變成英文介面
有鬼嗎
七月又還沒到
奇怪喔你


",0
135,"
馬的

好不容易洗完澡

走去買飲料再回家的路上就流汗了==

可惡






",0
136,"啊對了，忘了寫黑特板=..=
多少可以體會，為什麼鄉民總是會該該叫說，不想要讓認識的人知道自己批踢踢帳號的原因了。

這種感覺就像是楚門的世界。

想做什麼都不自由，想發什麼文都還需要經過謹慎的評估。
幹，我只是想發廢文啊！
心情想宣洩一下而已啊！

現實中無法大幹特幹的罵出來哭出來吼出來
好不容易在批踢踢找到一點空間可以抒發
結果被發現了、被知道了，就可以拿來說嘴了

我看我發這篇文，等一下又要來了...

有人按門鈴，我先去開門...

",0
137,"吵死人的樂團

唱現場還會走音破音

主唱都快步入老年了還剪那什麼萬年娃娃頭

團員一個比一個還不像藝人

歌曲千篇一律，唱風不耐聽

到底在紅什麼鬼？？？？？？？？？


什麼鬼？？？？？


",1
138,"
為避免其他小組長起而效尤，故拎北先來補正上次改板標的公告。


為了宣導個資的重要性，茲更正板標為「快樂的黑特板-嚴禁洩漏個資」。

欽此


往後更正板標公告週知

請原諒板主笑場  XDDDDDD

",0
139,"
就是有你們這群老鼠屎鬼月天


主唱沒實力就算了，連當個藝人都不會當

只會擺臉擺架子


我知道你不是故意的

個性不適合就快點滾啊


煩死每次看到你那張犯賤的臉

就想用朗頭硾掉

",1
140,"
嫌地下室臭  不然就家具舊

啊這就是老式耐用的家具啊  沒壞幹嘛換

走路到醫院3分鐘 這簡直是極品

有電梯

停車場正下方

出去一分鐘一堆吃的

旁邊還百貨公司跟捷運站  這房子燒香都找不到

燒紙紮的可能會有

要不是我現在沒錢 我早就買下來ㄌ






",0
